id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4792914813387718,120,4792921730323164,2022-07-19 12:30:51,11,来自上海,阿路1124,2378985845,m,360,645,想知道微念注册商标李子柒，是不是就和李佳佳没有关系了？还是说李子柒打造了网红李子柒账号也享有一部分所有权呢？
4792914813387718,112,4792915686065383,2022-07-19 12:06:50,124,来自河北,印象1949,7313193088,f,28,3,真的很喜欢她的视频，之前她出的每期必追，争论我不懂，只知道她的视频看的很舒服，也是一种文化输出，希望早日回归。
4792914813387718,126,4792922714673437,2022-07-19 12:34:46,10,来自河北,陆地战小虎,6328847008,m,233,1.3万,她怎么了？从一开始就不喜欢她的视频
4792914813387718,124,4792922371525791,2022-07-19 12:33:24,13,来自浙江,好大一只甘蔗鱼,5389497001,m,281,122,利益分配问题，照理说背后营销用了不少钱，营销公司确实得多拿，但不知道他们到底咋分配，所以不做评价，不给任何一方当枪使。
4792914813387718,123,4792922236782162,2022-07-19 12:32:52,5,来自河北,音娱妞妞,7349245831,f,186,12万,李子柒怎么了？
4792914813387718,1,4792915391942712,2022-07-19 12:05:40,13,来自河北,姗姗来迟吖-,1803962235,f,159,68,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718,121,4792921977787555,2022-07-19 12:31:50,0,来自河北,吃瓜群众吖-,7222597846,m,31,7,
4792914813387718,147,4792975412170514,2022-07-19 16:04:10,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792914813387718,139,4792945746907427,2022-07-19 14:06:17,0,,微博创作者中心,2892492275,f,584,117.7万,您的博文已进入公域场景推荐流曝光~了解平台政策、提升创作技巧、实现快速成长，创作者学院助您解锁流量密码，详情见网页链接
4792914813387718,131,4792924325546815,2022-07-19 12:41:10,12,来自上海,快乐哈哈的小鱼,1901639260,f,352,315,为啥不存在？后续视频精彩就存在了。
4792914813387718,148,4793020551792812,2022-07-19 19:03:31,0,来自湖南,来米虫,3859195782,f,696,117,到底是谁起诉谁啊
4792914813387718,146,4792972933863067,2022-07-19 15:54:19,5,来自重庆,Mike爱phoebe,5808363979,f,51,21,我之前看别人分析，说公司通过她能赚上亿的钱，但是她本人相当于只能拿到几百万，就是分配不公，才出的事情
